sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta

288776,TRENER/KA,HRUŠICA,8.45 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

304105,DELO NA TERENU,POSAVJE,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

309918,DELO NA TERENU,"RIBNICA, KOČEVJE",6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

309919,DELO NA TERENU,"ČRNOMELJ, METLIKA",6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

317382,STREŽBA,CERKLJE NA GORENJSKEM,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

317538,VADITELJ/ICA,DOMŽALE,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

321830,STREŽBA HRANE IN PIJAČE,TREBNJE,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

321831,STREŽBA,NOVO MESTO,6.00 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

322430,STREŽBA,KRANJSKA GORA,8.00 €/h neto,PO DOGOVORU,IZMENSKO,3

322464,STREŽBA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

324692,PROGRAMIRANJE,ŠKOFJA LOKA,6.00 €/h neto,PO DOGOVORU,DOPOLDAN,2

327974,STREŽBA HRANE IN PIJAČE,KRVAVEC,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

329285,POMOČ V STREŽBI,LOGATEC,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,4

329449,PRODAJA,"LJUBLJANA (BTC, CENTER, ŠIŠKA)",6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

329504,STREŽBA,MEDVODE,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

330791,STREŽBA,VELIKI GABER,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

331406,DELO V PROIZVODNJI,RIBNICA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

331609,STREŽBA HRANE IN PIJAČE,TREBNJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

332109,STREŽBA HRANE IN PIJAČE,PTUJ,6.00 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",PO DOGOVORU,3

332436,DELO NA TERENU,"LITIJA, ŠMARTNO PRI LITIJI",6.50 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

332444,STREŽBA,ŽALEC,6.50 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

332535,TEŽJA FIZIČNA DELA,KAMNIK IN OKOLICA,6.10 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",DOPOLDAN,

332590,STREŽBA,ZAGORICA NAD KAMNKOM,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

332774,STREŽBA HRANE IN PIJAČE,LITIJA,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,4

332775,STREŽBA,LITIJA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,2

332797,POMOČ V STREŽBI,ŠMARJE SAP,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

332831,SVETOVALEC/KA,LJUBLJANA Z OKOLICO OZ. PO SLOVENIJI,9.29 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

333014,STREŽBA,LJUBLJANA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

333026,STREŽBA,KAMNIK (SREDNJA VAS),5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

